transaction_id,date,month,account_type,category,subcategory,merchant,amount_php,payment_method,necessity_type,status,budget_limit_php,notes
FEM-0210,2024-07-26,2024-07,Household,Transportation,Fuel,Caltex,2945.44,Bank Transfer,Need,Paid,4500,Promo/discount used
FEM-0211,2025-05-04,2025-05,Household,Healthcare,Medicine,Generika,1081.10,Cash,Need,Paid,4000,Promo/discount used
FEM-0212,2025-04-10,2025-04,Personal,Education,School Supplies,National Book Store,902.96,bank transfer,Need,paid,5000,Promo/discount used
FEM-0213,2025-01-18,2025-01,Household,Education,Online Course,Coursera,2688.92,Debit Card,Need,Pending,5000,Promo/discount used
FEM-0214,2024-06-04,2024-06,Student,Rent,Association Dues,Condo Admin,-576.01,Credit Card,Need,Refunded,12000,Budget concern
FEM-0215,2024-05-20,2024-05,Personal,Healthcare,Insurance,Insurance Provider,34868.0,Maya,Need,Paid,4000,Regular expense
FEM-0216,2025-03-22,2025-03,Personal,healthcare,Insurance,Insurance Provider,1991.25,Debit Card,Need,Paid,4000,Recurring bill
FEM-0217,2025-01-25,2025-01,Personal,Food & Dining,Fast Food,Mang Inasal,300.42,Cash,Need,Paid,10000,Budget concern
FEM-0218,2025-06-13,2025-06,Personal,savings,Emergency Fund,Savings Account,6429.88,Credit Card,Savings,Pending,8000,One-time expense
FEM-0219,2024-10-23,2024-10,Student,Rent,Association Dues,Subdivision Office,2076.06,Cash,Need,Paid,12000,Recurring bill
FEM-0220,2025-06-06,2025-06,Personal,Utilities,Water,Maynilad,40847.92,GCash,Need,Paid,7000,Budget concern
FEM-0221,2025-06-08,2025-06,Household,Transportation,Fuel,Caltex,2391.54,BDO Online,Need,Paid,4500,
FEM-0222,2024-08-25,2024-08,Personal,Others,Repair/Maintenance,Repair Shop,2730.37,cash,Mixed,Paid,3000,
FEM-0223,2024-12-24,2024-12,Student,Utilities,Mobile Load,Smart,185.12,Cash,Need,Paid,7000,Regular expense
FEM-0224,2024-12-07,2024-12,Personal,Entertainment,Travel/Leisure,Airbnb,-6463.92,Cash,Want,Refunded,3000,Regular expense
FEM-0225,2024-11-14,2024-11,Household,Transportation,Jeepney/Bus Fare,Public Transport,114.95,BDO Online,Need,Paid,4500,
FEM-0226,2024-12-31,2024-12,Personal,Rent,Association Dues,Condo Admin,-1738.64,Cash,Need,Refunded,12000,Regular expense
FEM-0227,2024-02-26,2024-02,Personal,Savings,Emergency Fund,Savings Account,3988.81,Cash,Savings,Paid,,Regular expense
FEM-0228,2025-05-29,2025-05,Freelance,Food & Dining,Groceries,Puregold,2251.42,Debit Card,Need,Paid,10000,Promo/discount used
FEM-0229,2025-04-18,2025-04,Personal,Food & Dining,Groceries,Dali Grocery,2775.12,GCash,Need,Paid,10000,
FEM-0230,2024-04-16,2024-04,Household,Food & Dining,Fast Food,Jollibee,351.69,Cash,Need,Paid,10000,Regular expense
FEM-0231,2025-11-02,2025-11,Student,Food & Dining,Fast Food,McDonald's,191.18,Maya,Need,PAID,10000,Promo/discount used
FEM-0232,2025-10-01,2025-10,Personal,Transportation,Ride Hailing,JoyRide,396.08,Bank Transfer,Need,Paid,4500,Recurring bill
FEM-0233,2025-06-06,2025-06,Personal,Entertainment,Gaming,Riot Games,1777.79,BDO Online,Want,Paid,3000,Budget concern
FEM-0234,2025-05-30,2025-05,Personal,Education,School Supplies,Pandayan Bookshop,174.82,Debit Card,Need,Paid,5000,Recurring bill
FEM-0235,2025-04-10,2025-04,Student,Shopping,Online Shopping,TikTok Shop,3407.92,BANK TRANSFER,Want,Paid,6000,Promo/discount used
FEM-0236,2024-11-19,2024-11,Household,Food & Dining,Fast Food,Mang Inasal,193.49,Bank Transfer,Need,Paid,10000,
FEM-0237,2025-10-06,2025-10,Personal,Education,School Supplies,Pandayan Bookshop,955.22,Credit Card,Need,Pending,5000,Budget concern
FEM-0238,2024-12-18,2024-12,Personal,Utilities,Internet,Converge,1887.74,Cash,Need,Pending,7000,Promo/discount used
FEM-0239,2025-12-13,2025-12,Personal,Rent,Association Dues,Subdivision Office,870.37,GCash,Need,Paid,12000,Regular expense
FEM-0240,2024-08-09,2024-08,Personal,Food & Dining,Fast Food,Jollibee,222.50,Debit Card,Need,Paid,10000,Promo/discount used
FEM-0241,2025-08-02,2025-08,Personal,Rent,Dorm/Apartment Rent,Apartment Landlord,7840.39,Bank Transfer,Need,,12000,Budget concern
FEM-0242,2024-04-10,2024-04,Personal,Shopping,Personal Care,Guardian,697.54,Bank Transfer,Want,Paid,6000,
FEM-0243,2024-09-08,2024-09,Freelance,Utilities,Electricity,Meralco,3945.17,BDO Online,Need,PAID,7000,Budget concern
FEM-0244,2024-11-19,2024-11,Household,Food & Dining,Groceries,Dali Grocery,3211.00,Bank Transfer,Need,Paid,10000,
FEM-0245,2025-07-03,2025-07,Personal,Food & Dining,Fast Food,Mang Inasal,234.03,Bank Transfer,Need,Paid,10000,Regular expense
FEM-0246,2025-02-12,2025-02,Freelance,Savings,Emergency Fund,Savings Account,3270.43,Maya,Savings,Paid,8000,
FEM-0247,2024-08-31,2024-08,Student,Education,School Supplies,Pandayan Bookshop,460.99,Maya,Need,Paid,5000,Recurring bill
FEM-0248,2025-06-23,2025-06,Personal,Transportation,Parking/Toll,Street Parking,216.62,Credit Card,Need,Paid,4500,One-time expense
FEM-0249,2025-12-09,2025-12,Personal,Rent,Association Dues,Subdivision Office,1233.24,Cash,Need,Paid,12000,
FEM-0250,2025-12-16,2025-12,Personal,Food & Dining,Groceries,SM Supermarket,1714.06,Cash,Need,Paid,10000,Regular expense
FEM-0251,2025-12-10,2025-12,Personal,Others,Repair/Maintenance,Hardware Store,3225.31,Bank Transfer,Mixed,Pending,3000,Budget concern
FEM-0252,2024-09-15,2024-09,Household,Shopping,Personal Care,Guardian,689.26,Cash,Want,Paid,6000,Promo/discount used
FEM-0253,2025-11-24,2025-11,Personal,Utilities,Electricity,Meralco,2665.42,Bank Transfer,Need,Paid,7000,Recurring bill
FEM-0254,2024-09-13,2024-09,Student,Utilities,Mobile Load,DITO,523.24,GCash,Need,Paid,7000,
FEM-0255,2025-02-20,2025-02,Freelance,Utilities,Internet,Globe Fiber,1256.29,Maya,Need,Pending,7000,Budget concern
FEM-0256,2024-10-09,2024-10,Household,Food & Dining,Fast Food,KFC,270.55,Bank Transfer,Need,Paid,10000,Regular expense
FEM-0257,2025-09-21,2025-09,Personal,Savings,Emergency Fund,Savings Account,7109.74,G-Cash,Savings,Paid,8000,Promo/discount used
FEM-0258,2024-12-08,2024-12,Personal,Healthcare,Insurance,Insurance Provider,2516.12,Credit Card,Need,Paid,4000,Budget concern
FEM-0259,2025-11-13,2025-11,Household,Transportation,Parking/Toll,Skyway Toll,183.43,GCash,Need,Paid,4500,One-time expense
FEM-0260,2025-02-23,2025-02,Household,Healthcare,Checkup,Hospital OPD,2559.03,BDO Online,Need,Paid,4000,One-time expense
FEM-0261,2024-10-23,2024-10,Freelance,Shopping,Personal Care,Salon,1409.68,Maya,Want,Pending,6000,Recurring bill
FEM-0262,2025-07-21,2025-07,Student,Entertainment,Cinema,Ayala Malls Cinemas,432.96,GCASH,Want,Cancelled,3000,Regular expense
FEM-0263,2024-03-10,2024-03,Personal,Food & Dining,Cafe,Starbucks,184.74,Debit Card,Need,Paid,10000,Promo/discount used
FEM-0264,2025-06-12,2025-06,Personal,Transportation,Parking/Toll,NLEX Toll,207.63,Cash,Need,Cancelled,4500,
FEM-0265,2025-07-20,2025-07,Household,Savings,Emergency Fund,Savings Account,4602.94,Credit Card,Savings,Paid,8000,Recurring bill
FEM-0266,2025-03-03,2025-03,Personal,Food & Dining,Groceries,SM Supermarket,-1408.86,GCash,Need,Refunded,10000,Regular expense
FEM-0267,2024-08-11,2024-08,Household,Food & Dining,Groceries,Dali Grocery,3527.95,Debit Card,Need,Paid,10000,One-time expense
FEM-0268,2024-01-10,2024-01,Student,Rent,Association Dues,Subdivision Office,626.59,Cash,Need,Paid,12000,Budget concern
FEM-0269,2024-08-15,2024-08,Freelance,Shopping,Clothing,Ukay Store,2266.64,Maya,Want,Paid,6000,Regular expense
FEM-0270,2025-10-10,2025-10,Personal,Healthcare,Dental,Dental Clinic,4371.46,Cash,Need,Paid,4000,Budget concern
FEM-0271,2025-06-28,2025-06,Household,Food & Dining,Groceries,SM Supermarket,2354.35,Credit Card,Need,Cancelled,10000,Promo/discount used
FEM-0272,2025-02-03,2025-02,Household,Entertainment,Travel/Leisure,Cebu Pacific,8502.87,Maya,Want,Paid,3000,Recurring bill
FEM-0273,2025-07-29,2025-07,Personal,Education,Printing,Computer Shop,222.47,Bank Transfer,Need,Pending,5000,Regular expense
FEM-0274,"January 12, 2024",2024-01,Student,Education,Tuition/Fees,University Portal,7426.27,Maya,Need,Paid,5000,Regular expense
FEM-0275,2025-07-10,2025-07,Household,Education,Printing,Print Shop,245.74,Bank Transfer,Need,Paid,5000,Recurring bill
FEM-0276,2024-08-30,2024-08,Household,Others,Gifts/Donations,Church Donation,1453.40,GCash,Mixed,Paid,3000,Regular expense
FEM-0277,2025-08-08,2025-08,Personal,Shopping,Personal Care,Salon,1739.57,Maya,Want,Pending,6000,Promo/discount used
FEM-0278,2025-05-11,2025-05,Freelance,Rent,Dorm/Apartment Rent,Dormitory Payment,6156.80,BDO Online,Need,Paid,12000,One-time expense
FEM-0279,2024-03-20,2024-03,Household,Transportation,Parking/Toll,Street Parking,174.94,GCash,Need,Paid,4500,Promo/discount used
FEM-0280,2024-05-11,2024-05,Freelance,Entertainment,Cinema,SM Cinema,649.31,Cash,Want,Paid,3000,One-time expense
FEM-0281,2025-06-17,2025-06,Personal,Education,Printing,Computer Shop,916.06,Cash,Need,Pending,5000,Regular expense
FEM-0282,2024-12-10,2024-12,Personal,Savings,Investment,Bank Investment,6146.92,Cash,Savings,Paid,8000,Regular expense
FEM-0283,2024-06-21,2024-06,Household,Savings,Investment,Bank Investment,11049.55,GCash,Savings,Paid,8000,Promo/discount used
FEM-0284,2024-09-15,2024-09,Student,Rent,Association Dues,Condo Admin,860.49,GCash,Need,Paid,12000,Recurring bill
FEM-0285,2025-07-07,2025-07,Personal,Entertainment,Streaming Subscription,Disney+,387.25,Credit Card,Want,Paid,3000,One-time expense
FEM-0286,2025-08-03,2025-08,Student,Rent,Association Dues,Subdivision Office,345.88,Cash,Need,Paid,12000,
FEM-0287,2024-08-30,2024-08,Personal,Savings,Investment,Maya Stocks,12784.83,Cash,Savings,Paid,8000,Recurring bill
FEM-0288,2025-05-10,2025-05,Household,Food & Dining,Cafe,Starbucks,324.57,Maya,Need,Pending,10000,Regular expense
FEM-0289,2025-07-09,2025-07,Student,Healthcare,Dental,Dental Clinic,2807.81,GCash,Need,Pending,4000,Regular expense
FEM-0290,2025-04-06,2025-04,Student,Transportation,Parking/Toll,NLEX Toll,76.27,Maya,Need,Paid,4500,Regular expense
FEM-0291,2024-04-30,2024-04,Personal,Education,School Supplies,National Book Store,1219.50,MAYA,Need,PAID,5000,Budget concern
FEM-0292,2025-09-02,2025-09,Personal,Shopping,Online Shopping,TikTok Shop,2088.22,BDO Online,Want,Paid,6000,Budget concern
FEM-0293,2024-07-18,2024-07,Personal,Food & Dining,Cafe,But First Coffee,235.39,GCash,Need,Cancelled,10000,Recurring bill
FEM-0294,2024-12-04,2024-12,Household,Savings,Emergency Fund,Savings Account,-3530.24,Cash,Savings,Refunded,8000,Budget concern
FEM-0295,2025-10-15,2025-10,Personal,Food & Dining,Groceries,SM Supermarket,1859.31,Debit Card,Need,Paid,10000,Promo/discount used
FEM-0296,2025-06-22,2025-06,Household,Rent,Association Dues,Subdivision Office,1270.45,GCash,Need,Pending,12000,One-time expense
FEM-0297,2024-12-07,2024-12,Personal,Food & Dining,Restaurant,Samgyupsal House,668.04,gcash,Need,Paid,10000,
FEM-0298,2025-12-14,2025-12,Personal,Savings,Emergency Fund,Savings Account,4620.99,Credit Card,Savings,PAID,8000,One-time expense
FEM-0299,2025-12-09,2025-12,Personal,Food & Dining,Restaurant,Samgyupsal House,-357.77,Cash,Need,Refunded,10000,Promo/discount used
FEM-0300,2024-09-26,2024-09,Freelance,Others,Miscellaneous,Unknown Merchant,1643.59,Maya,Mixed,PAID,3000,Budget concern
FEM-0301,2024-03-12,2024-03,Student,Entertainment,Gaming,Garena,1380.58,Bank Transfer,Want,Paid,3000,Recurring bill
FEM-0302,2025-10-04,2025-10,Personal,Shopping,Gadgets/Accessories,Digital Walker,7719.70,Maya,Want,,6000,Recurring bill
FEM-0303,2025-09-11,2025-09,Student,Others,Gifts/Donations,Charity,1387.41,Maya,Mixed,,3000,Regular expense
FEM-0304,2024-01-16,2024-01,Personal,Others,Gifts/Donations,Gift Shop,31172.71,Debit Card,Mixed,Paid,3000,Regular expense
FEM-0305,2024-04-26,2024-04,Student,Education,Printing,Computer Shop,228.94,GCash,Need,Paid,5000,Regular expense
FEM-0306,2025-10-05,2025-10,Personal,Transportation,Fuel,Shell,1767.28,Maya,Need,Cancelled,4500,Regular expense
FEM-0307,2025-11-08,2025-11,Personal,Shopping,Online Shopping,,-2612.04,GCash,Want,Refunded,6000,One-time expense
FEM-0308,2024-06-23,2024-06,Freelance,Food & Dining,Groceries,,1313.77,Bank Transfer,Need,Paid,10000,One-time expense
FEM-0309,2024-04-03,2024-04,Personal,Food & Dining,Restaurant,Max's Restaurant,783.54,Cash,Need,Cancelled,10000,
FEM-0310,2025-08-09,2025-08,Personal,Education,School Supplies,National Book Store,1078.58,GCash,Need,Paid,5000,Promo/discount used
FEM-0311,2024-09-12,2024-09,Personal,Others,Miscellaneous,Sari-sari Store,-1183.02,Credit Card,Mixed,Refunded,3000,Budget concern
FEM-0312,2024-09-17,2024-09,Personal,Others,Gifts/Donations,Gift Shop,1600.51,Credit Card,Mixed,Paid,3000,Recurring bill
FEM-0313,2025-07-18,2025-07,Personal,Food & Dining,Restaurant,Pizza Hut,759.12,Bank Transfer,Need,Pending,10000,Recurring bill
FEM-0314,2024-12-20,2024-12,Student,Shopping,Clothing,Ukay Store,4280.48,Bank Transfer,Want,Paid,6000,Regular expense
FEM-0315,2024-10-12,2024-10,Household,Shopping,Gadgets/Accessories,Digital Walker,2992.67,Bank Transfer,Want,Paid,6000,Promo/discount used
FEM-0316,2024-01-20,2024-01,Personal,Food & Dining,Groceries,Puregold,1670.58,Bank Transfer,Need,Paid,10000,Budget concern
FEM-0317,2024-12-14,2024-12,Freelance,Entertainment,Streaming Subscription,Disney+,375.48,Bank Transfer,Want,Paid,3000,One-time expense
FEM-0318,2024-12-22,2024-12,Personal,Education,Online Course,Coursera,2223.20,bank transfer,Need,Paid,5000,Recurring bill
FEM-0319,2024-04-16,2024-04,Personal,Entertainment,Cinema,Ayala Malls Cinemas,574.95,Bank Transfer,Want,Paid,3000,Budget concern
FEM-0320,2024-06-25,2024-06,Household,Education,Printing,Print Shop,447.42,Maya,Need,Pending,5000,Regular expense
FEM-0321,2025-09-29,2025-09,Student,Transportation,Jeepney/Bus Fare,Public Transport,106.50,Credit Card,Need,Paid,4500,Regular expense
FEM-0322,2024-08-10,2024-08,Personal,Shopping,Clothing,Uniqlo,2310.63,Maya,Want,Paid,6000,Budget concern
FEM-0323,2024-07-15,2024-07,Personal,Rent,Dorm/Apartment Rent,Boarding House,7710.15,Maya,Need,Paid,12000,Recurring bill
FEM-0324,2025-12-24,2025-12,Personal,Savings,Emergency Fund,Savings Account,4453.84,Maya,Savings,Paid,8000,One-time expense
FEM-0325,2024-10-19,2024-10,Household,Shopping,Personal Care,Guardian,701.09,Maya,Want,Paid,6000,Promo/discount used
FEM-0326,2025-05-17,2025-05,Student,Transportation,Ride Hailing,Move It,462.04,Bank Transfer,Need,Cancelled,4500,Promo/discount used
FEM-0327,2025-04-13,2025-04,Household,Transportation,Jeepney/Bus Fare,Public Transport,95.07,GCash,Need,Paid,4500,One-time expense
FEM-0328,2025-07-27,2025-07,Personal,Shopping,Online Shopping,Lazada,3150.95,Debit Card,Want,pending,6000,Budget concern
FEM-0329,2025-01-27,2025-01,Student,Rent,Association Dues,Subdivision Office,807.77,Cash,Need,Paid,12000,Recurring bill
FEM-0330,2025-08-21,2025-08,Personal,Transportation,Ride Hailing,Move It,214.35,BDO Online,Need,Paid,4500,One-time expense
FEM-0331,2024-02-03,2024-02,Freelance,Entertainment,Cinema,SM Cinema,646.71,GCash,Want,Paid,3000,One-time expense
FEM-0332,2025-07-04,2025-07,Household,Others,Repair/Maintenance,Repair Shop,-1759.42,Debit Card,Mixed,Refunded,3000,
FEM-0333,2025-06-09,2025-06,Freelance,Rent,Dorm/Apartment Rent,Apartment Landlord,11370.70,Debit Card,Need,Paid,12000,
FEM-0334,2024-07-26,2024-07,Personal,Transportation,Parking/Toll,Skyway Toll,164.82,Cash,Need,Paid,4500,
FEM-0335,2025-09-25,2025-09,Household,Food & Dining,Groceries,Puregold,3102.38,Bank Transfer,Need,Paid,10000,
FEM-0336,2025-01-23,2025-01,Personal,Transportation,Parking/Toll,Skyway Toll,,GCash,Need,Paid,,
FEM-0337,2025-02-04,2025-02,Personal,Savings,Emergency Fund,Savings Account,8941.72,BDO Online,Savings,Paid,8000,Recurring bill
FEM-0338,2025-08-30,2025-08,Freelance,TRANSPORTATION,Ride Hailing,Grab,523.00,Maya,Need,Paid,4500,Recurring bill
FEM-0339,2024-06-22,2024-06,Freelance,Transportation,Fuel,Petron,1397.36,Maya,Need,Paid,4500,One-time expense
FEM-0340,2024-09-11,2024-09,Student,TRANSPORTATION,Parking/Toll,NLEX Toll,118.84,GCash,Need,Paid,4500,Budget concern
FEM-0341,2025-11-20,2025-11,Freelance,Education,Printing,Computer Shop,254.15,Cash,Need,CANCELLED,5000,Promo/discount used
FEM-0342,2025-06-07,2025-06,Personal,Education,Printing,Print Shop,325.21,Bank Transfer,Need,Paid,5000,Regular expense
FEM-0343,2024-03-17,2024-03,Freelance,Entertainment,Streaming Subscription,YouTube Premium,322.02,GCash,Want,Paid,3000,Recurring bill
FEM-0344,2024-09-01,2024-09,Household,Education,Tuition/Fees,University Portal,21735.44,Debit Card,Need,Paid,5000,Regular expense
FEM-0345,2025-05-10,2025-05,Personal,Entertainment,Streaming Subscription,YouTube Premium,-189.53,BDO Online,Want,Refunded,3000,Regular expense
FEM-0346,2024-11-30,2024-11,Freelance,Healthcare,Insurance,Insurance Provider,2445.30,Credit Card,Need,Paid,4000,Regular expense
FEM-0347,2025-12-05,2025-12,Household,Others,Repair/Maintenance,Hardware Store,,GCash,Mixed,Paid,3000,One-time expense
FEM-0348,2024-02-03,2024-02,Household,Food & Dining,Groceries,,1865.99,Cash,Need,Paid,10000,One-time expense
FEM-0349,2024-01-12,2024-01,Personal,Shopping,Online Shopping,Shopee,1579.41,Debit Card,Want,Paid,6000,Recurring bill
FEM-0350,2024-12-01,2024-12,Personal,Food & Dining,Groceries,Dali Grocery,,GCash,Need,Paid,10000,Regular expense
FEM-0351,2025-07-26,2025-07,Personal,Healthcare,Checkup,Hospital OPD,,GCash,Need,Paid,4000,Budget concern
FEM-0352,2024-09-27,2024-09,Personal,Transportation,Jeepney/Bus Fare,UV Express,112.72,BDO Online,Need,Paid,4500,Promo/discount used
FEM-0353,2024-04-09,2024-04,Personal,Savings,Investment,GCash GInvest,13384.34,gcash,Savings,Pending,8000,
FEM-0354,2024-05-20,2024-05,Household,Shopping,Gadgets/Accessories,Digital Walker,6715.00,Credit Card,Want,PAID,6000,Promo/discount used
FEM-0355,2024-08-19,2024-08,Personal,Food & Dining,Restaurant,Local Carinderia,585.43,GCash,Need,Paid,10000,Promo/discount used
FEM-0356,2024-03-16,2024-03,Personal,Education,Printing,Print Shop,243.51,GCash,Need,Paid,5000,Promo/discount used
FEM-0357,2024-07-06,2024-07,Personal,Transportation,Jeepney/Bus Fare,Public Transport,65.26,Debit Card,Need,Paid,4500,Budget concern
FEM-0358,2024-08-08,2024-08,Student,Healthcare,Dental,Dental Clinic,2298.73,Maya,Need,Cancelled,4000,One-time expense
FEM-0359,2024-12-24,2024-12,Personal,Entertainment,Streaming Subscription,YouTube Premium,226.58,BDO Online,Want,Paid,3000,Promo/discount used
FEM-0360,2025-07-13,2025-07,Personal,Food & Dining,Cafe,Starbucks,323.19,Cash,Need,Paid,10000,
FEM-0361,2024-01-30,2024-01,Student,Savings,Emergency Fund,Savings Account,,Maya,Savings,Paid,8000,Recurring bill
FEM-0362,2025-09-01,2025-09,Freelance,Food & Dining,Cafe,Starbucks,125.98,Bank Transfer,Need,Paid,10000,One-time expense
FEM-0363,2024-12-02,2024-12,Personal,Savings,Investment,GCash GInvest,14325.43,GCash,Savings,Paid,8000,Regular expense
FEM-0364,2025-05-11,2025-05,Student,OTHERS,Miscellaneous,Unknown Merchant,1677.79,Cash,Mixed,Paid,3000,Promo/discount used
FEM-0365,2025-11-20,2025-11,Household,Utilities,Water,Maynilad,477.76,Bank Transfer,Need,Paid,7000,Recurring bill
FEM-0366,2025-06-27,2025-06,Freelance,Savings,Emergency Fund,Savings Account,3209.02,credit card,Savings,Paid,8000,Regular expense
FEM-0367,2025-01-30,2025-01,Household,Entertainment,Travel/Leisure,Cebu Pacific,4265.29,BDO Online,Want,Paid,3000,One-time expense
FEM-0368,2025-04-08,2025-04,Personal,Others,Gifts/Donations,Gift Shop,1917.58,Maya,Mixed,Paid,3000,One-time expense
FEM-0369,2024-09-28,2024-09,Personal,Education,Printing,Computer Shop,344.69,Credit Card,Need,Pending,5000,Recurring bill
FEM-0370,2024-02-04,2024-02,Household,Rent,Dorm/Apartment Rent,Dormitory Payment,4340.08,GCash,Need,Paid,12000,Recurring bill
FEM-0371,2025-02-23,2025-02,Student,UTILITIES,Water,Maynilad,555.93,Cash,Need,Cancelled,7000,Budget concern
FEM-0372,2025-12-03,2025-12,Personal,Rent,Association Dues,Subdivision Office,1325.00,Credit Card,Need,Paid,12000,Budget concern
FEM-0373,2024-05-14,2024-05,Personal,Others,Repair/Maintenance,Hardware Store,1443.75,Bank Transfer,Mixed,Paid,3000,
FEM-0374,2024-02-22,2024-02,Student,Food & Dining,Groceries,Robinsons Supermarket,4271.58,Maya,Need,Paid,10000,
FEM-0375,2025-10-21,2025-10,Personal,Transportation,Jeepney/Bus Fare,UV Express,47.44,Bank Transfer,Need,Paid,4500,One-time expense
FEM-0376,2024-08-14,2024-08,Freelance,Rent,Association Dues,Condo Admin,43839.97,Bank Transfer,Need,Pending,12000,Regular expense
FEM-0377,2025-05-05,2025-05,Household,Shopping,Clothing,Uniqlo,1572.20,BDO Online,Want,Paid,6000,Promo/discount used
FEM-0378,2024-03-23,2024-03,Student,Healthcare,Insurance,Insurance Provider,2196.81,Maya,Need,Paid,4000,Promo/discount used
FEM-0379,2024-11-29,2024-11,Personal,Food & Dining,Cafe,Bo's Coffee,204.22,Credit Card,Need,Paid,10000,Regular expense
FEM-0380,2025-07-31,2025-07,Personal,Entertainment,Travel/Leisure,Cebu Pacific,7449.64,Debit Card,Want,Paid,3000,Budget concern
FEM-0381,2025-03-21,2025-03,Personal,Rent,Dorm/Apartment Rent,Apartment Landlord,10961.08,Bank Transfer,Need,Paid,12000,Promo/discount used
FEM-0382,2025-12-14,2025-12,Personal,Shopping,Clothing,Bench,1731.31,BDO Online,Want,Paid,6000,Promo/discount used
FEM-0383,2025-08-26,2025-08,Personal,Savings,Investment,GCash GInvest,,GCash,Savings,Cancelled,8000,
FEM-0384,2025-10-23,2025-10,Freelance,Food & Dining,Restaurant,Samgyupsal House,748.04,Bank Transfer,Need,Paid,10000,Promo/discount used
FEM-0385,2024-02-19,2024-02,Student,Food & Dining,Fast Food,Jollibee,213.12,GCash,Need,Paid,10000,Promo/discount used
FEM-0386,2024-05-20,2024-05,Student,Transportation,Ride Hailing,Angkas,480.54,Debit Card,Need,Paid,4500,One-time expense
FEM-0387,2025-08-24,2025-08,Household,Food & Dining,Groceries,Robinsons Supermarket,1870.20,Credit Card,Need,Paid,10000,One-time expense
FEM-0388,2024-01-31,2024-01,Student,TRANSPORTATION,Ride Hailing,Angkas,351.65,Debit Card,Need,Paid,4500,Budget concern
FEM-0389,2024-04-07,2024-04,Personal,Shopping,Online Shopping,Lazada,1390.33,Credit Card,Want,Paid,6000,One-time expense
FEM-0390,2025-05-05,2025-05,Household,Food & Dining,Fast Food,Chowking,193.40,Credit Card,Need,Paid,10000,Budget concern
FEM-0391,2024-03-04,2024-03,Personal,Education,School Supplies,Pandayan Bookshop,326.71,BDO Online,Need,Pending,5000,Recurring bill
FEM-0392,2025-12-26,2025-12,Personal,Savings,Investment,Maya Stocks,6710.15,GCash,Savings,Paid,8000,
,2024-04-17,2024-04,Household,Food & Dining,Fast Food,KFC,310.08,GCash,Need,Paid,10000,Budget concern
FEM-0394,2025-08-08,2025-08,Household,Rent,Dorm/Apartment Rent,Boarding House,10987.55,Maya,Need,Paid,12000,Recurring bill
FEM-0395,2024-06-29,2024-06,Freelance,Transportation,Parking/Toll,NLEX Toll,134.08,Bank Transfer,Need,Cancelled,4500,One-time expense
FEM-0396,2024-06-28,2024-06,Personal,Food & Dining,Groceries,SM Supermarket,3992.64,Cash,Need,Paid,10000,Budget concern
FEM-0397,2024-07-11,2024-07,Household,Savings,Emergency Fund,Savings Account,1961.34,GCash,Savings,Paid,8000,One-time expense
FEM-0398,2024-02-18,2024-02,Student,Utilities,Mobile Load,DITO,347.85,Cash,Need,Paid,7000,Recurring bill
FEM-0399,2024-09-24,2024-09,Personal,Transportation,Parking/Toll,NLEX Toll,132.54,Bank Transfer,Need,Paid,4500,Recurring bill
FEM-0400,2025-04-24,2025-04,Student,Food & Dining,Fast Food,Chowking,371.73,GCash,Need,Paid,10000,Budget concern
FEM-0401,2024-07-19,2024-07,Personal,Food & Dining,Fast Food,Jollibee,377.47,GCash,Need,Paid,10000,Budget concern
FEM-0402,2024-03-29,2024-03,Student,Entertainment,Travel/Leisure,Klook,5407.43,GCash,Want,Paid,3000,Budget concern
FEM-0403,"September 24, 2024",2024-09,Student,HEALTHCARE,Medicine,Watsons Pharmacy,581.99,Bank Transfer,Need,Paid,4000,Promo/discount used
FEM-0404,2025-08-17,2025-08,Student,transportation,Ride Hailing,Angkas,355.61,GCash,Need,Paid,4500,Recurring bill
FEM-0405,2025-05-08,2025-05,Household,Utilities,Mobile Load,DITO,468.18,GCash,Need,Paid,7000,Regular expense
FEM-0406,2024-08-13,2024-08,Freelance,Savings,Emergency Fund,Savings Account,7932.41,Debit Card,Savings,Paid,8000,Recurring bill
FEM-0407,2024-09-05,2024-09,Student,Healthcare,Insurance,Insurance Provider,1114.44,Maya,Need,Paid,4000,
FEM-0408,2024-10-03,2024-10,Personal,Healthcare,Checkup,Clinic,1614.63,Maya,Need,Paid,4000,One-time expense
FEM-0409,2025-11-20,2025-11,Freelance,Utilities,Electricity,Meralco,3266.35,BDO Online,Need,Paid,7000,
FEM-0410,2025-12-23,2025-12,Personal,Healthcare,Insurance,Insurance Provider,3069.67,Cash,Need,Paid,4000,Regular expense
FEM-0411,2025-03-29,2025-03,Freelance,Shopping,Clothing,Ukay Store,1665.71,Maya,Want,Paid,6000,Promo/discount used
FEM-0412,2025-12-12,2025-12,Student,Rent,Dorm/Apartment Rent,Apartment Landlord,7850.05,Cash,Need,Paid,12000,Recurring bill
FEM-0413,2024-12-23,2024-12,Student,Savings,Emergency Fund,Savings Account,4346.13,GCash,Savings,Paid,8000,Budget concern
FEM-0414,2025-03-31,2025-03,Household,Food & Dining,Fast Food,Jollibee,251.80,Cash,Need,Paid,10000,Regular expense
FEM-0415,2025-10-24,2025-10,Personal,Utilities,Mobile Load,Globe,512.41,Credit Card,Need,Paid,7000,Budget concern
FEM-0416,2025-03-17,2025-03,Personal,Rent,Dorm/Apartment Rent,Boarding House,12397.76,Cash,Need,Paid,12000,One-time expense
